f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,class
-3.58993,-4.04969,-3.62810,0.67217,2.48371,5.07210,2.68535,-0.76920,0.57708,-3.24154,-6.20647,3.27499,8.22355,2.61151,6.49992,-0.26108,2.66863,-5.58462,-1.83438,4.31965,4.71171,0
0.48445,1.09298,2.63038,-0.46774,-2.22945,-5.24405,2.36741,-3.48872,3.99314,2.48386,2.07421,-4.82002,-2.36150,-4.55862,-4.10316,-0.77637,-3.03145,0.46782,2.12577,-0.86896,2.08343,0
3.85894,-5.90024,-1.33285,7.99768,1.41831,-0.67877,2.31881,-2.36722,9.44927,3.14185,0.23872,-0.30277,-0.13289,-5.07553,-5.82403,0.26191,3.45009,-0.48187,0.20297,4.30925,2.45932,0
5.72154,1.15601,-5.21154,-0.57153,4.17371,-2.34059,-4.93423,2.11233,-1.77190,-4.45899,0.44970,2.10064,-4.00902,-2.99229,-8.38786,-3.16470,-6.70148,-8.75629,-5.59478,-1.41516,-4.58895,0
-0.19515,1.57088,-4.40734,0.36966,-1.66446,-1.79961,-2.45640,-1.38972,7.40340,-0.27225,0.37334,0.11350,2.97770,3.00562,0.34555,3.00912,6.64926,3.96696,4.92451,-7.30645,-3.20248,0
4.60169,6.72709,5.60075,2.11623,0.94230,2.00398,-0.97618,-3.85949,-4.63430,0.28591,2.10368,-4.88189,-4.90177,-5.21810,-1.98727,4.07209,1.23730,-7.16215,1.97373,1.00109,-9.45888,0
0.05567,-1.60961,0.34967,0.09119,-6.97493,2.24443,0.86648,0.99720,0.02792,-0.58130,-3.49977,4.77555,-2.80353,-5.71552,-1.71655,-4.94034,8.05370,7.23702,-4.07910,9.74112,-5.21194,0
-2.38519,2.25599,0.50730,-1.51275,-2.31432,-0.92236,-5.13206,-1.02110,2.80818,-1.89196,5.13268,-1.51832,0.48665,-7.96294,2.97158,-1.62305,-4.84702,-3.37173,-1.19713,4.03491,1.54323,0
2.55978,3.03547,5.49228,2.10222,-5.86125,-2.42017,3.83174,1.01038,-1.89314,-4.35090,4.05006,-1.06231,5.10009,2.83924,-1.26870,-2.05424,2.67010,-0.89101,-7.47836,5.40505,-2.04281,0
-3.53924,-0.40077,-8.87381,-4.22617,-2.24141,2.55529,-2.40507,-2.38675,3.07546,-3.21345,1.30975,-3.94130,-5.27705,2.83111,4.50450,-2.45378,-7.07218,-6.58977,1.49112,-2.55563,-0.55954,0
-0.93958,0.88154,-2.78712,2.08803,-2.00208,-3.23827,-0.58066,4.54180,-0.93823,4.34855,4.68253,-1.18090,0.11201,5.43872,-6.18075,3.96968,-1.70144,-6.83205,3.64979,-4.13760,-2.27845,0
-3.44084,1.18903,-1.77675,6.16711,1.19926,-0.04612,4.11032,-0.52020,-1.18559,4.65091,0.78851,5.43543,-1.63184,3.58848,2.28554,-7.32102,-1.84985,-1.59983,-3.25571,-3.10745,-0.97366,0
-1.54575,-4.03915,2.09124,7.05719,-2.69984,-4.10492,6.10623,-0.19914,1.98009,-7.76120,2.36506,-8.08573,-3.88554,-2.53840,2.45688,-2.98511,3.74087,3.39271,2.10300,-2.82720,2.17540,0
1.32422,6.45069,0.40392,7.44913,4.55507,-0.11587,2.78865,5.62197,5.89526,4.24927,-1.33564,0.23992,-6.47932,1.57091,-2.39338,2.20021,-2.47124,1.55477,-1.32088,1.20316,0.24571,0
-5.15626,3.48497,2.34172,2.96479,-1.71282,0.89143,-2.97832,0.08730,-2.27871,0.08251,2.53174,4.83553,-3.71810,-4.29368,-2.15732,-2.57755,-4.42111,-1.75882,1.23581,3.24302,0.12546,0
0.52920,-1.27427,-2.03708,-2.65390,-1.86682,1.14690,3.22208,-2.68213,-3.37844,2.30600,1.73398,-1.29986,-7.42215,-2.94769,6.29694,7.79943,-1.26176,6.23132,-7.62564,-0.94070,-2.14479,0
-7.00675,1.82994,-2.61658,4.92941,-3.83018,0.95307,4.41150,-0.73331,1.65245,4.11158,1.19234,1.66364,0.28751,-2.52738,-4.16375,-1.56067,0.87148,-6.25245,-2.13049,-1.03521,6.59380,0
-8.19488,-0.79978,9.05905,-0.60074,2.59049,2.02450,-4.47522,7.67636,-5.28305,-5.43642,-4.02965,1.54128,-1.13602,4.14462,2.93066,-0.02927,0.39141,-3.18508,3.72844,5.43862,-11.94226,0
-1.41130,-1.26433,7.02218,1.82153,3.12393,0.32879,0.23881,2.23274,-0.48544,3.19209,-0.63362,-4.55999,0.45981,2.27776,-10.93906,11.18179,1.93662,1.14059,-2.96687,2.36936,3.69253,0
0.38252,-1.01900,-4.85463,1.30702,2.21775,4.66133,-5.63677,-1.28931,2.17066,-6.81518,2.90960,-6.42741,0.14275,4.12755,3.13168,6.32709,3.79322,6.22280,3.16733,-2.91809,-10.39680,0
-2.98320,-2.18564,-0.53041,-2.95216,4.16000,-0.45060,-0.95265,-4.59638,-2.35957,7.91533,-4.36934,8.59132,3.03087,0.67034,-2.06077,-3.39294,2.08410,2.50790,1.91521,1.19008,0.17597,0
