f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,class
-0.14270,0.74706,1.39077,-1.18662,0.05875,1.18804,0.79592,-0.55638,0.44399,0.40030,1.64908,-0.19101,0.64643,-1.09325,0.37434,0.81937,2.77744,0.06963,1.04540,0.33522,2.66779,0
1.49105,1.11441,-1.13209,0.53590,-0.56970,0.82984,1.42430,-0.06963,-0.90054,1.20141,0.16016,-0.87374,0.54925,0.75448,0.40730,-0.81015,-0.56632,-0.45479,-0.72893,-0.48356,0.94021,0
0.07460,0.29442,1.21572,-0.12337,1.52230,-0.87478,0.00747,0.69054,1.16782,1.06494,0.43402,0.60153,-0.79889,0.88865,1.00255,1.24087,0.99303,0.30128,-0.75266,-0.48115,0.71508,0
-0.28391,0.65490,-0.29122,0.09648,0.41718,2.28570,0.61373,1.10409,3.02094,-0.54068,-0.70574,-1.03170,-0.50955,0.25383,0.36645,0.00959,0.37093,1.74729,-0.55116,0.82521,-0.44354,0
-0.06139,1.28758,2.03208,0.60442,-0.53907,-1.16164,-0.24516,1.47946,-0.07218,1.34153,0.41545,0.06741,0.58453,-1.02480,1.08047,-0.45855,-0.93918,1.29727,1.72040,0.42421,-0.12482,0
1.29481,-0.71272,1.06141,1.48748,0.00456,-1.59030,-1.50015,0.32867,-0.53642,0.77035,-2.24030,1.93552,-0.04283,-0.50885,1.32519,-0.02436,-0.00217,1.55396,1.49739,-0.18069,2.34158,0
2.48165,0.58644,0.15492,0.37612,1.80395,-1.60459,-0.11721,-0.45422,0.60658,-0.94481,0.27493,0.75357,-0.62666,-0.45159,-0.05693,1.46024,-0.76767,0.26432,0.17468,0.34398,1.61534,0
0.11241,-0.05007,-1.68974,2.40058,0.62343,0.81436,1.73177,1.96692,-0.45560,1.00893,0.83288,0.46611,-1.34565,0.96413,0.67477,-0.29318,0.91682,0.44551,0.61268,0.06938,2.15873,0
1.71230,1.54870,0.30559,0.77972,-1.31328,0.73808,0.19387,0.27140,0.55046,-0.35160,1.10618,-0.67017,-0.93540,1.18828,1.26658,1.58622,1.03786,-0.82621,-0.69416,1.54275,2.28626,0
0.44727,1.18164,-0.50323,-0.07552,-0.96976,0.35908,1.68946,-0.22473,0.61116,1.77813,0.51282,-0.85942,0.76543,1.49325,0.42438,-0.88744,0.60489,-0.80783,-0.03459,1.86301,-0.36471,0
