f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,class
-0.23296,-0.42703,-0.85644,-0.85222,-0.06505,0.00559,0.84883,0.22944,1.55549,-0.05977,1.36314,1.25181,0.18422,0.06241,-0.00981,-0.73285,1.10861,1.41735,-0.27999,-0.51217,-0.28205,0
0.74090,-1.42144,-1.46349,1.41285,0.28246,0.46025,1.55780,1.18269,0.31214,-0.45816,1.65417,-0.46885,1.17287,0.73775,-0.06456,1.03618,0.92449,0.38104,-0.52456,1.66988,2.08509,0
0.51772,0.26922,0.08290,-1.41845,0.01750,0.09695,1.86009,1.23898,2.10788,0.67240,2.08003,0.85060,-0.35654,-1.14197,-2.03477,0.99690,-0.66795,-0.62566,-0.48205,-0.70380,-0.93172,0
0.81176,1.47907,-0.30224,1.89205,2.34971,-0.22283,-0.01671,1.52364,1.08857,0.41874,0.06570,-0.54230,0.89633,0.75175,0.18392,-0.45929,2.32753,-0.64440,0.37326,1.21932,-1.47670,0
1.43930,1.84208,-0.73409,-0.08059,0.91796,-0.60180,1.42741,0.63981,-0.03002,1.45992,-0.81580,-0.94429,0.58495,0.40171,0.41866,-0.81982,1.06028,0.34522,-1.76008,1.08380,1.15371,0
1.22300,1.88385,1.11052,-1.85917,-1.43955,0.04662,0.99799,0.39419,0.93125,0.11941,0.55161,0.79996,0.19513,0.44176,0.45602,1.44661,-1.15846,0.64478,-0.33128,0.23957,0.98936,0
0.20272,0.48886,0.89032,-0.53901,0.46163,-0.37688,1.57721,1.82882,2.35987,0.51025,0.16861,-0.49681,0.11827,1.92350,0.72085,0.76621,0.18038,-0.18971,2.00662,-0.08026,0.94633,0
0.32249,0.33925,2.07818,0.33734,-1.61432,-0.76736,0.86829,0.67377,2.42962,0.34534,0.74504,-0.39560,0.57545,0.56351,-0.07101,0.67296,0.16141,0.83075,-0.53383,1.02199,1.21372,0
-0.11737,0.76985,1.10615,-0.85359,0.37241,-0.02250,0.07958,-0.43342,-0.60912,1.18542,0.23732,-0.50443,-0.04822,-0.82490,-0.24231,0.94179,-1.18465,0.92997,0.77838,-0.95468,0.03718,0
-2.12787,-0.17614,0.53966,-0.72994,-0.48997,0.16605,1.13186,0.54398,0.84404,0.50873,0.54180,0.07381,-1.08568,0.99006,1.56662,0.79072,1.12744,1.21207,0.26450,1.81120,0.49889,0
0.46884,1.70117,-1.17227,1.68300,-1.40744,-1.14615,0.35103,-0.22393,0.73010,-0.27370,0.06683,1.04142,0.75151,0.79766,1.24393,-0.94820,1.18188,-0.54711,0.78842,0.16973,0.39615,0
1.03773,1.44451,-0.03342,0.86530,0.81986,-0.66746,-1.25100,1.17413,0.79393,1.97722,-0.97063,0.54691,-0.72152,0.27098,0.31177,0.69166,0.52309,-0.23566,0.87833,0.53917,-0.51187,0
-1.02595,-1.73933,0.61117,1.05954,-0.69648,0.48006,-1.55217,0.36542,1.52233,0.50002,1.40426,-0.70811,1.38814,2.06737,-0.89689,-0.93602,2.08179,-0.77769,0.84955,0.03177,1.02448,0
-1.21978,0.29691,1.41783,0.71998,-0.11985,1.44023,0.47407,-0.70517,-0.90905,1.03664,-1.92594,-0.85835,1.45420,1.15719,0.97775,0.06903,-0.42360,-0.42801,-0.53158,1.89173,0.47411,0
2.28074,0.83523,2.15277,-1.53416,-0.32875,1.07196,1.70714,1.02991,-1.21738,0.38425,0.91445,0.02537,-0.68524,0.38782,-0.51433,0.55701,1.67677,-1.20863,1.85481,-1.40551,1.32454,0
